index,Common Name,Endangered Animals of Area,Scientific Name:,Other Names and/or Listed subspecies:,Group:,Status/Date Listed as Endangered:,Area(s) Where Listed As Endangered:
174,Short-eared Dog,Endangered Mammals of South America,Atelocynus microtis,"Short-eared Fox, Small-eared Dog, Small-eared Zorro",Mammals,NT-IUCN: 2008,"Bolivia, Brazil, Colombia, Ecuador, Peru"
175,Short-tailed Chinchilla,Endangered Mammals of South America,Chinchilla chinchilla,"Short-tailed Chinchilla, C. chinchilla (CR-IUCN), Chinchilla brevicaudata (formerly), Bolivian Chinchilla, Chinchilla brevicaudata boliviana (US FWS)",Mammals,"CR-IUCN: 2008EN-US FWS: June 14, 1976",Bolivia
176,Silent Grass Mouse,Endangered Mammals of South America,Akodon surdus,Slate-bellied Akodont,Mammals,VU-IUCN: 2008,Peru
177,Small Red Brocket,Endangered Mammals of South America,Mazama bororo,Mazama sp. nov.,Mammals,VU-IUCN: 2008,Brazil
178,Social Tuco-tuco,Endangered Mammals of South America,Ctenomys sociabilis,NA,Mammals,CR-IUCN: 2008,Argentina
179,South American Tapir,Endangered Mammals of South America,Tapirus terrestris,"Brazilian Tapir, Lowland Tapir",Mammals,"EN-US FWS: June 2, 1970VU-IUCN: 2008",Colombia and Venezuela south to Paraguay and Argentina
180,South Andean Huemul,Endangered Mammals of South America,Hippocamelus bisulcus,"Patagonian Huemul, Chilean Guemal, Chilean Huemul, South Andean Deer",Mammals,"EN-IUCN: 2008EN-US FWS: June 14, 1976","Argentina, Chile"
181,Southern Long-nosed Armadillo,Endangered Mammals of South America,Dasypus hybridus,NA,Mammals,NT-IUCN: 2010,"Argentina, Brazil, Paraguay, Uruguay"
182,Southern River Otter,Endangered Mammals of South America,Lontra provocax,"Lutra provocax, Huillin",Mammals,"EN-US FWS: June 14, 1976EN-IUCN: 2008","Argentina, Chile"
183,Southern Three-banded Armadillo,Endangered Mammals of South America,Tolypeutes matacus,NA,Mammals,NT-IUCN: 2008,"Argentina, Bolivia, Brazil, Paraguay"
184,Southern Tuco-tuco,Endangered Mammals of South America,Ctenomys australis,NA,Mammals,EN-IUCN: 2008,Argentina
185,Sowbug Rice Rat,Endangered Mammals of South America,Hylaeamys oniscus,Oryzomys oniscus,Mammals,VU-IUCN: 2008,Brazil
186,Spectral Bat,Endangered Mammals of South America,Vampyrum spectrum,NA,Mammals,NT-IUCN: 2008,"Belize, Brazil, Colombia, Costa Rica, Ecuador, French Guiana, Guatemala, Guyana, Honduras, Mexico, Nicaragua, Peru, Suriname, Trinidad and Tobago, Venezuela"
187,Superagui Lion Tamarin,Endangered Mammals of South America,Leontopithecus caissara,Black-faced Lion Tamarin,Mammals,"EN-US FWS: June 2, 1970CR-IUCN: 2008",Brazil
188,Thin-spined Porcupine,Endangered Mammals of South America,Chaetomys subspinosus,"Bristle-spined Porcupine, Bristle-spined Rat",Mammals,"EN-US FWS: June 2, 1970VU-IUCN: 2008",Brazil
189,Tiny Yellow Bat,Endangered Mammals of South America,Rhogeessa minutilla,NA,Mammals,VU-IUCN: 2008,"Colombia, Venezuela"
190,Tschudi's Yellow-shouldered Bat,Endangered Mammals of South America,Sturnira oporaphilum,NA,Mammals,NT-IUCN: 2008,"Argentina, Bolivia, Ecuador, Peru"
191,Tuco-tuco Of The Dunes,Endangered Mammals of South America,Ctenomys flamarioni,Flamarion's Tuco-tuco,Mammals,EN-IUCN: 2008,Brazil
192,Ucucha Thomasomys,Endangered Mammals of South America,Thomasomys ucucha,NA,Mammals,VU-IUCN: 2008,Ecuador
193,Unexpected Cotton Rat,Endangered Mammals of South America,Sigmodon inopinatus,NA,Mammals,VU-IUCN: 2008,Ecuador
194,Variegated Spider Monkey,Endangered Mammals of South America,Ateles hybridus,"Ateles belzebuth ssp. brunneus, Brown Spider Monkey",Mammals,CR-IUCN: 2008,"Colombia, Venezuela"
195,Venezuelan Fish-eating Rat,Endangered Mammals of South America,Neusticomys venezuelae,NA,Mammals,VU-IUCN: 2008,"Guyana, Venezuela"
196,Vicuna,Endangered Mammals of South America,Vicugna vicugna,NA,Mammals,"EN-US FWS: June 2, 1970",South America (Andes)
197,West Indian Manatee,Endangered Mammals of South America,Trichechus manatus,"Sea Cow, Florida Manatee, American Manatee",Mammals,"EN-US FWS: March 11, 1967VU-IUCN: 2008","Caribbean Sea, South America, Southeastern USA"
198,Western Nectar Bat,Endangered Mammals of South America,Lonchophylla hesperia,NA,Mammals,NT-IUCN: 2009,"Ecuador, Peru"
199,White-cheeked Spider Monkey,Endangered Mammals of South America,Ateles marginatus,"Ateles belzebuth ssp. marginatus, White-whiskered Spider Monkey",Mammals,EN-IUCN: 2008,"Brazil (Mato Grosso, Para)"
200,White-eared Marmoset,Endangered Mammals of South America,Callithrix aurita,"Buffy Tufted-ear Marmoset, Callithrix jacchus aurita",Mammals,"EN-US FWS: May 16, 1986VU-IUCN: 2008",Brazil
201,White-footed Saki,Endangered Mammals of South America,Pithecia albicans,"Buffy Saki, White Saki",Mammals,VU-IUCN: 2008,Brazil
202,White-lipped Peccary,Endangered Mammals of South America,Tayassu pecari,NA,Mammals,T-US FWS:,"Central America, North America, South America"
203,White-nosed Saki,Endangered Mammals of South America,Chiropotes albinasus,Red-nosed Saki,Mammals,"EN-US FWS: June 2, 1970EN-IUCN: 2008",Brazil
204,Woolly Spider Monkey,Endangered Mammals of South America,Brachyteles arachnoides,Southern Muriqui,Mammals,"EN-US FWS: June 2, 1970EN-IUCN: 2008",Brazil
205,Yellow-tailed Woolly Monkey,Endangered Mammals of South America,Oreonax flavicauda,"Hendee's Woolly Monkey, Lagothrix flavicauda",Mammals,"EN-US FWS: October 19, 1976CR-IUCN: 2008",Andes of Northern Peru
206,Zuniga's Dark Rice Rat,Endangered Mammals of South America,Melanomys zunigae,Oryzomys zunigae,Mammals,CR-IUCN: 2008,Peru
