index,Common Name,Endangered Animals of Area,Scientific Name:,Other Names and/or Listed subspecies:,Group:,Status/Date Listed as Endangered:,Area(s) Where Listed As Endangered:
118,Gray Mouse Lemur,Endangered Mammals of Africa,Microcebus murinus,NA,Mammals,"EN-US FWS: June 2, 1970",Madagascar
119,Greater Bamboo Lemur,Endangered Mammals of Africa,Prolemur simus,"Hapalemur simus, Broad-nosed Gentle Lemur",Mammals,CR-IUCN: 2008,Madagascar
120,Greater Dwarf Lemur,Endangered Mammals of Africa,Cheirogaleus major,NA,Mammals,"EN-US FWS: June 2, 1970",Madagascar
121,Greater Mascarene Flying Fox,Endangered Mammals of Africa,Pteropus niger,Mauritan Flying Fox,Mammals,EN-IUCN: 2008,Indian Ocean (Mauritius - Reunion Island)
122,Grevy's Zebra,Endangered Mammals of Africa,Equus grevyi,NA,Mammals,EN-IUCN: 2008,"Ethiopia, Kenya"
123,Guinea Baboon,Endangered Mammals of Africa,Papio papio,NA,Mammals,NT-IUCN: 2008,"Gambia, Guinea, Guinea-Bissau, Mali, Mauritania, Senegal"
124,Guinean Horseshoe Bat,Endangered Mammals of Africa,Rhinolophus guineensis,NA,Mammals,VU-IUCN: 2008,"Cote d'Ivoire, Guinea, Liberia, Senegal, Sierra Leone"
125,Gunning's Golden Mole,Endangered Mammals of Africa,Neamblysomus gunningi,Amblysomus gunningi,Mammals,EN-IUCN: 2008,South Africa
126,Guramba Shrew,Endangered Mammals of Africa,Crocidura phaeura,NA,Mammals,EN-IUCN: 2008,Ethiopia
127,Hairy-eared Dwarf Lemur,Endangered Mammals of Africa,Allocebus trichotis,Hairy-eared Mouse Lemur,Mammals,"EN-US FWS: June 2, 1970",Madagascar
128,Hairy-tailed Tree Rat,Endangered Mammals of Africa,Brachytarsomys villosa,NA,Mammals,EN-IUCN: 2008,Madagascar
129,Harenna Shrew,Endangered Mammals of Africa,Crocidura harenna,NA,Mammals,CR-IUCN: 2008,Ethiopia
130,Hartebeest,Endangered Mammals of Africa,Alcelaphus buselaphus,"2 subspecies endangered: Swayne's Hartebeest (Alcelaphus buselaphus swaynei), Tora Hartebeest (Alcelaphus buselaphus tora)",Mammals,"EN-US FWS: A. b. swaynei - June 2, 1970, A. b. tora - June 25, 1979","Egypt, Ethiopia, Somalia, Sudan"
131,Highveld Golden Mole,Endangered Mammals of Africa,Amblysomus septentrionalis,NA,Mammals,NT-IUCN: 2008,"South Africa, Swaziland"
132,Hildegarde's Tomb Bat,Endangered Mammals of Africa,Taphozous hildegardeae,NA,Mammals,VU-IUCN: 2008,"Kenya, Tanzania"
133,Himalayan Tahr,Endangered Mammals of Africa,Hemitragus jemlahicus,NA,Mammals,NT-IUCN: 2008,"China, India, Nepal, New Zealand, South Africa"
134,Indo-pacific Hump-backed Dolphin,Endangered Mammals of Africa,Sousa chinensis,Chinese White Dolphin,Mammals,NT-IUCN: 2008,"Africa, Asia, Australia, Middle East, Oceanic, South America"
135,Indri,Endangered Mammals of Africa,Indri Indri,NA,Mammals,"EN-US FWS: June 2, 1970EN-IUCN: 2008",Malagasy Republic (Madagascar)
136,Jackson's Mongoose,Endangered Mammals of Africa,Bdeogale jacksoni,NA,Mammals,NT-IUCN: 2008,"Kenya, Tanzania, Uganda"
137,Javan Rusa,Endangered Mammals of Africa,Rusa timorensis,"Javan Deer, Rusa Deer, Timor Deer, Cervus celebensis, C. hippelaphus, C. lepidus, C. moluccensis, C. peronii, C. russa, C. tavistocki, C. timorensis, C. tunjuc",Mammals,VU-IUCN: 2008,"Australia, Indian Ocean (Reunion), Indonesia, Mauritius, New Caledonia, New Zealand, Papua New Guinea, Timor-Leste"
138,Jenkins' Shrew Tenrec,Endangered Mammals of Africa,Microgale jenkinsae,NA,Mammals,EN-IUCN: 2008,Madagascar
139,Jentink's Duiker,Endangered Mammals of Africa,Cephalophus jentinki,NA,Mammals,"EN-US FWS: June 25, 1979EN-IUCN: 2008","Ivory Coast (Africa), Liberia, Sierra Leone"
140,Johnston's Genet,Endangered Mammals of Africa,Genetta johnstoni,NA,Mammals,VU-IUCN: 2008,"Cote d'Ivoire, Ghana, Guinea, Liberia"
141,Jolly's Mouse Lemur,Endangered Mammals of Africa,Microcebus jollyae,NA,Mammals,"EN-US FWS: June 2, 1970",Madagascar
142,Kemp's Thicket Rat,Endangered Mammals of Africa,Thamnomys kempi,Thamnomys major,Mammals,VU-IUCN: 2008,"Burundi, Democratic Republic of Congo (Zaire), Rwanda"
143,Kipunji,Endangered Mammals of Africa,Rungwecebus kipunji,"Highland Mangabey, Lophocebus kipunji",Mammals,CR-IUCN: 2008,Tanzania
144,Kivu Long-haired Shrew,Endangered Mammals of Africa,Crocidura lanosa,Lemara Shrew,Mammals,EN-IUCN: 2008,"Democratic Republic of Congo (Zaire), Rwanda"
145,L'hoest's Monkey,Endangered Mammals of Africa,Cercopithecus lhoesti,"L'Hoest's Guenon, Mountain Monkey",Mammals,"EN-US FWS: October 19, 1976VU-IUCN: 2008","Cameroon, Upper eastern Congo R. Basin"
146,Large-eared Free-tailed Bat,Endangered Mammals of Africa,Otomops martiensseni,Otomops martiensseni ssp. icarus,Mammals,NT-IUCN: 2008,"Africa, Asia, Middle East"
147,Leopard,Endangered Mammals of Africa,Panthera pardus,NA,Mammals,"NT-IUCN: 2008EN-US FWS: June 2, 1970","Africa, Asia, Middle East"
148,Lesser Dwarf Lemur,Endangered Mammals of Africa,Cheirogaleus medius,"Western Fat-tailed Dwarf Lemur, Southern Flat-tailed Dwarf Lemur, C. adipicaudatus, Spiny Forest Dwarf Lemur",Mammals,"EN-US FWS: June 2, 1970",Madagascar
149,Lesser Kudu,Endangered Mammals of Africa,Tragelaphus imberbis,NA,Mammals,NT-IUCN: 2008,"Ethiopia, Kenya, Somalia, Sudan, Tanzania, Uganda"
150,Liberian Mongoose,Endangered Mammals of Africa,Liberiictis kuhni,NA,Mammals,VU-IUCN: 2008,"Cote d'Ivoire, Liberia"
151,Long-fingered Bat,Endangered Mammals of Africa,Myotis capaccinii,NA,Mammals,VU-IUCN: 2008,"Africa, Asia, Europe, Middle East"
