index,Common Name,Endangered Animals of Area,Scientific Name:,Group:,Status/Date Listed as Endangered:,Area(s) Where Listed As Endangered:,Other Names and/or Listed subspecies:
191,Lar Gibbon,Endangered Mammals of Asia,Hylobates lar,Mammals,"EN-IUCN: 2008EN-US FWS: June 2, 1970","China (Yunnan), Indonesia (Sumatra), Laos, Malay Peninsula, Myanmar, Thailand","White-handed Gibbon or Common Gibbon. 4 subspecies endangered: Malaysian Lar Gibbon (H. l. lar), Carpenter's Lar Gibbon (H. l. carpenteri), Central Lar Gibbon (H. l. entelloides), Sumatran Lar Gibbon (H. l. vestitus), Yunnan Lar Gibbon (H. l. yunnanensis)"
192,Large Flying-fox,Endangered Mammals of Asia,Pteropus vampyrus,Mammals,NT-IUCN: 2008,"Brunei Darussalam, China, Indonesia, Malaysia, Myanmar, Philippines, Singapore, Thailand, Timor-Leste, Vietnam","P. caninus, P. celaeno, P. edulis, P. funereus, P. javanicus, P. kalou, P. kelaarti, P. kopangi, P. lanensis, P. malaccensis, P. natunae, P. nudus, P. phaiops, P. pluton, P. pteronotus, P. sumatrensis"
193,Large-eared Free-tailed Bat,Endangered Mammals of Asia,Otomops martiensseni,Mammals,NT-IUCN: 2008,"Africa, Asia, Middle East",Otomops martiensseni ssp. icarus
194,Large-spotted Civet,Endangered Mammals of Asia,Viverra megaspila,Mammals,VU-IUCN: 2008,"Cambodia, China, Laos, Malaysia, Myanmar, Thailand, Vietnam",NA
195,Leopard,Endangered Mammals of Asia,Panthera pardus,Mammals,"NT-IUCN: 2008EN-US FWS: June 2, 1970","Africa, Asia, Middle East",NA
196,Lesser Leaf-nosed Bat,Endangered Mammals of Asia,Hipposideros turpis,Mammals,NT-IUCN: 2008,"Japan, Thailand, Vietnam",Lesser Roundleaf Bat
197,Lesser Wooly Horseshoe Bat,Endangered Mammals of Asia,Rhinolophus sedulus,Mammals,NT-IUCN: 2008,"Brunei Darussalam, Indonesia, Malaysia",NA
198,Lion-tailed Macaque,Endangered Mammals of Asia,Macaca silenus,Mammals,"EN-US FWS: June 2, 1970EN-IUCN: 2008",India,Wanderoo
199,Little Golden-mantled Flying Fox,Endangered Mammals of Asia,Pteropus pumilus,Mammals,NT-IUCN: 2008,"Indonesia, Philippines",NA
200,Long-clawed Mole Vole,Endangered Mammals of Asia,Prometheomys schaposchnikowi,Mammals,NT-IUCN: 2008,"Georgia (Eurasia), Russia, Turkey",NA
201,Long-fingered Bat,Endangered Mammals of Asia,Myotis capaccinii,Mammals,VU-IUCN: 2008,"Africa, Asia, Europe, Middle East",NA
202,Long-tailed Goral,Endangered Mammals of Asia,Naemorhedus caudatus,Mammals,VU-IUCN: 2008,"China, Korea, Russia","Chinese Goral, Amur Goral"
203,Lowland Long-nosed Squirrel,Endangered Mammals of Asia,Hyosciurus ileile,Mammals,VU-IUCN: 2008,Indonesia,NA
204,Madura Horseshoe Bat,Endangered Mammals of Asia,Rhinolophus madurensis,Mammals,EN-IUCN: 2008,Indonesia,NA
205,Malabar Large-spotted Civet,Endangered Mammals of Asia,Viverra civettina,Mammals,"EN-US FWS: June 25, 1979CR-IUCN: 2008",India,"Jawad, Viverra megaspila civettina"
206,Malabar Spiny Dormouse,Endangered Mammals of Asia,Platacanthomys lasiurus,Mammals,VU-IUCN: 2008,India,Malabar Spiny Tree Mouse
207,Malayan Slit-faced Bat,Endangered Mammals of Asia,Nycteris tragata,Mammals,NT-IUCN: 2008,"Brunei Darussalam, Indonesia, Malaysia, Myanmar, Singapore, Thailand",NA
208,Malayan Sun Bear,Endangered Mammals of Asia,Helarctos malayanus,Mammals,VU-IUCN: 2008,"Bangladesh, Brunei Darussalam, Cambodia, China, India, Indonesia, Laos, Malaysia, Myanmar, Thailand, Vietnam",NA
209,Malayan Water Shrew,Endangered Mammals of Asia,Chimarrogale hantu,Mammals,NT-IUCN: 2008,Malaysia,"Asiatic Water Shrew, Hantu Water Shrew"
210,Manusela Mosaic-tailed Rat,Endangered Mammals of Asia,Melomys fraterculus,Mammals,CR-IUCN: 2008,Indonesia,Manusela Melomys
