index,Common Name,Endangered Animals of Area,Scientific Name:,Group:,Status/Date Listed as Endangered:,Area(s) Where Listed As Endangered:,Other Names and/or Listed subspecies:
1,African Lion,Endangered Mammals of Asia,Panthera leo,Mammals,VU-IUCN: 2008,"Africa, Asia",NA
2,Agile Gibbon,Endangered Mammals of Asia,Hylobates agilis,Mammals,"EN-IUCN: 2008EN-US FWS: June 2, 1970","Indonesia (Kalimantan, Sumatra), Malay Peninsula, Thailand","Also called Black-handed Gibbon or Dark-handed Gibbon. 3 subspecies endangered: Mountain Agile Gibbon (H. a. agilis), Bornean White-bearded Gibbon (H. a. albibarbis or H. albibarbis), Lowland Agile Gibbon (H. a. unko)"
3,Alpine Woolly Rat,Endangered Mammals of Asia,Mallomys gunung,Mammals,EN-IUCN: 2008,Indonesia,NA
4,Altai Weasel,Endangered Mammals of Asia,Mustela altaica,Mammals,NT-IUCN: 2008,"Bhutan, China, India, Kazakhstan, Kyrgyzstan, Mongolia, Pakistan, Russia, Tajikistan","Mountain Weasel, Pale Weasel"
5,Amami Spiny Rat,Endangered Mammals of Asia,Tokudaia osimensis,Mammals,EN-IUCN: 2008,Japan,Ryukyu Spiny Rat
6,Andaman Horseshoe Bat,Endangered Mammals of Asia,Rhinolophus cognatus,Mammals,EN-IUCN: 2008,India,Rhinolophus famulus
7,Andaman Rat,Endangered Mammals of Asia,Rattus stoicus,Mammals,VU-IUCN: 2008,India,"Mus rogersi, Mus stoicus, Mus taciturnus, Rattus rogersi"
8,Andaman White-toothed Shrew,Endangered Mammals of Asia,Crocidura andamanensis,Mammals,CR-IUCN: 2008,India,NA
9,Anderson's Squirrel,Endangered Mammals of Asia,Callosciurus quinquestriatus,Mammals,NT-IUCN: 2008,"China, Myanmar",NA
10,Anhui Musk Deer,Endangered Mammals of Asia,Moschus anhuiensis,Mammals,"EN-IUCN: 2008EN-US FWS: June 14, 1976",China,NA
11,Arabian Gazelle,Endangered Mammals of Asia,Gazella gazella,Mammals,"EN-US FWS: June 25, 1979VU-IUCN: 2008","Arabian Peninsula, Palestine, Sinai","Mountain Gazelle, Idmi"
12,Arabian Oryx,Endangered Mammals of Asia,Oryx leucoryx,Mammals,"VU-IUCN: 2011EN-US FWS: June 2, 1970",Arabian Peninsula,White Oryx
13,Arabian Tahr,Endangered Mammals of Asia,Hemitragus jayakari,Mammals,"EN-US FWS: June 25, 1979EN-IUCN: 2008",Oman,Arabitragus jayakari
14,Arfak Ringtail,Endangered Mammals of Asia,Pseudochirulus schlegeli,Mammals,VU-IUCN: 2008,Indonesia,Vogelkop Ringtail Possum
15,Argali,Endangered Mammals of Asia,Ovis ammon,Mammals,"NT-IUCN: 2008EN-US FWS: June 14, 1976","Afghanistan, China, India, Kazakhstan, Nepal, Pakistan, Russia, Uzbekistan",NA
16,Armenian Birch Mouse,Endangered Mammals of Asia,Sicista armenica,Mammals,EN-IUCN: 2008,Armenia,NA
17,Armenian Myotis,Endangered Mammals of Asia,Myotis hajastanicus,Mammals,CR-IUCN: 2008,Armenia,"Armenian Whiskered Bat, Hajastan Myotis"
18,Aru Flying Fox,Endangered Mammals of Asia,Pteropus aruensis,Mammals,CR-IUCN: 2008,Indonesia,NA
19,Arunachal Macaque,Endangered Mammals of Asia,Macaca munzala,Mammals,EN-IUCN: 2008,India,NA
20,Asia Minor Ground Squirrel,Endangered Mammals of Asia,Spermophilus xanthoprymnus,Mammals,NT-IUCN: 2008,"Armenia, Iran, Turkey",NA
21,Asian Elephant,Endangered Mammals of Asia,Elephas maximus,Mammals,"EN-US FWS: June 14, 1976EN-IUCN: 2008",South-Central and Southeastern Asia,Indian Elephant
22,Asian Golden Cat,Endangered Mammals of Asia,Catopuma temminckii,Mammals,"EN-US FWS: June 14, 1976NT-IUCN: 2008","China, Indonesia (Sumatra), Nepal, Southeast Asia","Temminck's Golden Cat, Asiatic Golden Cat, Felis temmincki, Profelis temminckii"
23,Asian Leopard Cat,Endangered Mammals of Asia,Prionailurus bengalensis,Mammals,"EN-US FWS: P. b. bengalensis - June 14, 1976, P. b. iriomotensis - June 25, 1979","India, Japan (Iriomote Island, Ryukyu Islands), Southeast Asia","2 subspecies endangered: Indian Leopard Cat (Prionailurus bengalensis bengalensis or Felis bengalensis bengalensis), Iriomote Cat (Prionailurus bengalensis iriomotensis or Felis bengalensis iriomotensis)"
24,Asian Small-clawed Otter,Endangered Mammals of Asia,Aonyx cinerea,Mammals,VU-IUCN: 2008,Asia,Oriental Small-clawed Otter
25,Asian Tapir,Endangered Mammals of Asia,Tapirus indicus,Mammals,"EN-US FWS: June 14, 1976EN-IUCN: 2008","Burma, Cambodia, Indonesia, Laos, Malaysia, Thailand, Vietnam","Malayan Tapir, Indian Tapir"
26,Asian Wild Ass,Endangered Mammals of Asia,Equus hemionus,Mammals,"EN-IUCN: 2008EN-US FWS: June 2, 1970","China, India, Iran, Mongolia, Turkmenistan","Onager, Equus spp."
27,Asiatic Black Bear,Endangered Mammals of Asia,Ursus thibetanus,Mammals,"VU-IUCN: 2008EN-US FWS: May 16, 1986","Afghanistan, Bangladesh, Bhutan, Cambodia, China, India, Iran, Japan, Korea, Laos, Myanmar, Nepal, Pakistan, Russia, Taiwan, Thailand, Vietnam","Tibetan Black Bear, Himalayan Black Bear, Moon Bear, Selenarctos thibetanus gedrosianus, Baluchistan Bear - U. t. gedrosianus (US FWS)"
28,Asiatic Lion,Endangered Mammals of Asia,Panthera leo persica,Mammals,"EN-US FWS: June 2, 1970",Turkey to India,NA
29,Asiatic Short-tailed Shrew,Endangered Mammals of Asia,Blarinella quadraticauda,Mammals,NT-IUCN: 2008,China,"Northern Short-tailed Shrew, Sichuan Short-tailed Shrew"
30,Assam Macaque,Endangered Mammals of Asia,Macaca assamensis,Mammals,NT-IUCN: 2008,"Bangladesh, Bhutan, China, India, Laos, Myanmar, Nepal, Thailand, Vietnam","M. coolidgei, M. macclellandii, M. problematicus, M. rhesosimilis, M. sikimensis, Assamese Macaque"
31,Australian Snubfin Dolphin,Endangered Mammals of Asia,Orcaella heinsohni,Mammals,NT-IUCN: 2008,"Australia, Indonesia, Papua New Guinea",NA
32,Babirusa,Endangered Mammals of Asia,Babyrousa babyrussa,Mammals,"VU-IUCN: 2008EN-US FWS: June 14, 1976",Indonesia,"Buru Babirusa, Hairy Babirusa, Babiroussa, Babirusa, Buru Babirusa, Deer Hog, Deer-pig"
33,Bactrian Camel,Endangered Mammals of Asia,Camelus bactrianus,Mammals,"CR-IUCN: 2008EN-US FWS: June 14, 1976","China, Mongolia",Camelus ferus (IUCN)
34,Balabac Mouse Deer,Endangered Mammals of Asia,Tragulus nigricans,Mammals,EN-IUCN: 2008,Philippines,"Tragulus napu ssp. nigricans, Balabac Chevrotain, Philippine Mouse-deer"
35,Baluchistan Forest Dormouse,Endangered Mammals of Asia,Dryomys niethammeri,Mammals,VU-IUCN: 2008,Pakistan,Niethammer's Forest Dormouse
36,Banded Palm Civit,Endangered Mammals of Asia,Hemigalus derbyanus,Mammals,NT-IUCN: 2015,"Brunei Darussalam, Indonesia, Malaysia, Myanmar, Thailand",NA
37,Banded Surili,Endangered Mammals of Asia,Presbytis femoralis,Mammals,NT-IUCN: 2008,"Indonesia, Malaysia, Myanmar, Singapore, Thailand","Banded Langur, Banded Leaf Monkey, P. australis, P. keatii, P. neglectus"
38,Banteng,Endangered Mammals of Asia,Bos javanicus,Mammals,"EN-US FWS: June 2, 1970EN-IUCN: 2008",Southeast Asia,"Tembadau, Bos birmanicus, Bos lowi"
39,Barbary Sheep,Endangered Mammals of Asia,Ammotragus lervia,Mammals,VU-IUCN: 2008,"Africa, Middle East","Aoudad, Uaddan"
40,Bare-backed Rousette,Endangered Mammals of Asia,Rousettus spinalatus,Mammals,VU-IUCN: 2008,"Brunei Darussalam, Indonesia, Malaysia",NA
41,Beccari's Margareta Rat,Endangered Mammals of Asia,Margaretamys beccarii,Mammals,VU-IUCN: 2008,Indonesia,Spiny Lowland Margaretamys
42,Bechstein's Bat,Endangered Mammals of Asia,Myotis bechsteinii,Mammals,NT-IUCN: 2008,"Asia, Europe, Middle East",Bechstein's Myotis
43,Beluga,Endangered Mammals of Asia,Delphinapterus leucas,Mammals,NT-IUCN: 2008,"Asia, Europe, North America (including United States), Oceanic",White Whale
44,Bengal Slow Loris,Endangered Mammals of Asia,Nycticebus bengalensis,Mammals,VU-IUCN: 2008,"Bangladesh, Cambodia, China, India, Laos, Myanmar, Thailand, Vietnam","Northern Slow Loris, N. cinereus, N. incanus, N. tenasserimensis"
45,Bhutan Giant Flying Squirrel,Endangered Mammals of Asia,Petaurista nobilis,Mammals,NT-IUCN: 2009,"Bhutan, India, Nepal","Gray's Giant Flying Squirrel, Noble Giant Flying Squirrel, Sciuropterus chrysothrix, Sciuropterus nobilis"
46,Biak Giant Rat,Endangered Mammals of Asia,Uromys boeadii,Mammals,CR-IUCN: 2008,Indonesia,NA
47,Birdlike Noctule,Endangered Mammals of Asia,Nyctalus aviator,Mammals,NT-IUCN: 2008,"China, Japan, Korea","Nyctalus molossus, Japanese Large Noctule"
48,Black Crested Gibbon,Endangered Mammals of Asia,Nomascus concolor,Mammals,"CR-IUCN: 2008EN-US FWS: June 2, 1970","China (Yunnan), Laos, Vietnam","Hylobates concolor (formerly). 4 subspecies endangered: Tonkin Black Crested Gibbon (N. c. concolor), Laotian Black Crested Gibbon (N. c. lu), Central Yunnan Black Crested Gibbon (N.c. jingdongensis), West Yunnan Black Crested Gibbon (N. c. furvogaster)"
49,Black Finless Porpoise,Endangered Mammals of Asia,Neophocaena phocaenoides,Mammals,VU-IUCN: 2008,"Asia, Middle East",Finless Black Porpoise
50,Black Giant Squirrel,Endangered Mammals of Asia,Ratufa bicolor,Mammals,NT-IUCN: 2008,"Bangladesh, Bhutan, Cambodia, China, India, Indonesia, Laos, Malaysia, Myanmar, Nepal, Thailand, Vietnam",Malayan Giant Squirrel
51,Black Musk Deer,Endangered Mammals of Asia,Moschus fuscus,Mammals,"EN-US FWS: June 14, 1976EN-IUCN: 2008","Bhutan, China, India, Nepal",Dusky Musk Deer
52,Black-bearded Flying Fox,Endangered Mammals of Asia,Pteropus melanopogon,Mammals,EN-IUCN: 2008,Indonesia,NA
53,Black-footed Gray Langur,Endangered Mammals of Asia,Semnopithecus hypoleucos,Mammals,VU-IUCN: 2008,India,"Semnopithecus aeneas, Dark-legged Malabar Langur, Malabar Sacred Langur"
54,Black-spotted Cuscus,Endangered Mammals of Asia,Spilocuscus rufoniger,Mammals,CR-IUCN: 2008,"Indonesia, Papua New Guinea",NA
55,Black-striped Squirrel,Endangered Mammals of Asia,Callosciurus nigrovittatus,Mammals,NT-IUCN: 2008,"Indonesia, Malaysia, Thailand",NA
56,Blackbuck,Endangered Mammals of Asia,Antilope cervicapra,Mammals,NT-IUCN: 2008,"Argentina, India, United States",Indian Antelope
57,Blue-eyed Cuscus,Endangered Mammals of Asia,Phalanger matabiru,Mammals,VU-IUCN: 2008,Indonesia,NA
58,Blue-eyed Spotted Cuscus,Endangered Mammals of Asia,Spilocuscus wilsoni,Mammals,CR-IUCN: 2008,Indonesia,Biak Spotted Cuscus
59,Blyth's Flying Fox,Endangered Mammals of Asia,Pteropus melanotus,Mammals,VU-IUCN: 2008,"India, Indian Ocean (Christmas Island), Indonesia","Black-eared Flying Fox, Christmas Island Flying Fox, P. edulis, P. modiglianii, P. natalis, P. niadicus, P. nicobaricus, P. nicobaricus, P. tytleri, P. tytleri"
60,Bonin Flying Fox,Endangered Mammals of Asia,Pteropus pselaphon,Mammals,CR-IUCN: 2008,Japan,Bonin Fruit Bat
61,Bornean Orangutan,Endangered Mammals of Asia,Pongo pygmaeus,Mammals,"EN-US FWS: June 2, 1970EN-IUCN: 2008",Borneo,NA
62,Bornean Water Shrew,Endangered Mammals of Asia,Chimarrogale phaeura,Mammals,EN-IUCN: 2008,Malaysia,"Borneo Water Shrew, Sunda Water Shrew"
63,Borneo Bay Cat,Endangered Mammals of Asia,Pardofelis badia,Mammals,EN-IUCN: 2008,"Indonesia, Malaysia","Catopuma badia, Felis badia, Bornean Marbled Cat"
64,Brandt's Hamster,Endangered Mammals of Asia,Mesocricetus brandti,Mammals,NT-IUCN: 2008,"Armenia, Azerbaijan, Georgia (Eurasia), Iran, Russia, Turkey",Mesocricetus koenigi
65,Bronze Quoll,Endangered Mammals of Asia,Dasyurus spartacus,Mammals,NT-IUCN: 2008,"Indonesia, Papua New Guinea",Satanellus spartacus
66,Brown Bear,Endangered Mammals of Asia,Ursus arctos,Mammals,"EN-US FWS: U. a. arctos - June 14, 1976, U. a. pruinosus - June 14, 1976, U. a. nelsoni - June 2, 1970","China (Tibet), Italy, Mexican Holarctic","3 subspecies endangered: European Brown Bear (Ursus arctos arctos), Tibetan Blue Bear (Ursus arctos pruinosus), Mexican Grizzly Bear or Mexican Brown Bear (Ursus arctos nelsoni)"
67,Brown Palm Civet,Endangered Mammals of Asia,Macrogalidia musschenbroekii,Mammals,VU-IUCN: 2008,Indonesia,"Musang, Sulawesi Palm Civet, Jerdon's Palm Civet"
68,Bumblebee Bat,Endangered Mammals of Asia,Craseonycteris thonglongyai,Mammals,"EN-US FWS: January 23, 1984VU-IUCN: 2008",Thailand,Kitti's Hog-nosed Bat
69,Bunn's Short-tailed Bandicoot Rat,Endangered Mammals of Asia,Nesokia bunnii,Mammals,EN-IUCN: 2008,Iraq,NA
70,Burrowing Vole,Endangered Mammals of Asia,Hyperacrius fertilis,Mammals,NT-IUCN: 2009,"India, Pakistan",True's Vole
71,Buxton's Jird,Endangered Mammals of Asia,Meriones sacramenti,Mammals,VU-IUCN: 2008,"Egypt, Israel, Palestine",NA
72,Cameron Highlands Niviventer,Endangered Mammals of Asia,Niviventer cameroni,Mammals,VU-IUCN: 2008,Malaysia,NA
73,Canut's Horseshoe Bat,Endangered Mammals of Asia,Rhinolophus canuti,Mammals,VU-IUCN: 2008,Indonesia,NA
74,Capped Langur,Endangered Mammals of Asia,Trachypithecus pileatus,Mammals,"VU-IUCN: 2008EN-US FWS: June 14, 1976","Bangladesh, Burma, India","Bonneted Langur, Capped Leaf Monkey,  Presbytis pileatus"
75,Caspian Seal,Endangered Mammals of Asia,Pusa caspica,Mammals,EN-IUCN: 2008,"Azerbaijan, Iran, Kazakhstan, Russia, Turkmenistan",Phoca caspica
76,Caucasian Birch Mouse,Endangered Mammals of Asia,Sicista caucasica,Mammals,VU-IUCN: 2008,"Georgia (Eurasia), Russia",NA
77,Caucasian Mountain Ground Squirrel,Endangered Mammals of Asia,Spermophilus musicus,Mammals,NT-IUCN: 2008,Russia,"Citellus pygmaeus ssp. boehmi, Citellus pygmaeus ssp. magistri"
78,Central Kashmir Vole,Endangered Mammals of Asia,Alticola montosa,Mammals,VU-IUCN: 2008,"India, Pakistan",True's Vole
79,Central Sulawesi Echiothrix,Endangered Mammals of Asia,Echiothrix centrosa,Mammals,VU-IUCN: 2008,Indonesia,NA
80,Ceylon Spiny Mouse,Endangered Mammals of Asia,Mus fernandoni,Mammals,EN-IUCN: 2008,Sri Lanka,Leggadilla fernandoni
81,Cheetah,Endangered Mammals of Asia,Acinonyx jubatus,Mammals,"EN-US FWS: June 2, 1970VU-IUCN: 2008",Africa to India,NA
82,Chinese Goral,Endangered Mammals of Asia,Naemorhedus griseus,Mammals,VU-IUCN: 2008,"China, India, Myanmar, Thailand, Vietnam","Gray Long-tailed Goral, Naemorhedus caudatus ssp. griseus"
83,Chinese Pangolin,Endangered Mammals of Asia,Manis pentadactyla,Mammals,EN-IUCN: 2008,"Bangladesh, Bhutan, China (Hong Kong), India, Laos, Myanmar, Nepal, Taiwan, Thailand, Vietnam",NA
84,Chinese River Dolphin,Endangered Mammals of Asia,Lipotes vexillifer,Mammals,"EN-US FWS: May 30, 1989CR-IUCN: 2008",China,"Baiji, Yangtze River Dolphin, Whitefin Dolphin, Chinese Lake Dolphin, and White Flag Dolphin, White Dolphin, Changjiang Dolphin"
85,Chinese Water Deer,Endangered Mammals of Asia,Hydropotes inermis,Mammals,VU-IUCN: 2008,"China, France, Korea, United Kingdom","Hydropotes affinis, Hydropotes argyropus, Hydropotes kreyenbergi"
86,Clouded Leopard,Endangered Mammals of Asia,Neofelis nebulosa,Mammals,"EN-US FWS: June 2, 1970VU-IUCN: 2008","Southeastern and South-Central Asia, Taiwan",NA
87,Common Bentwing Bat,Endangered Mammals of Asia,Miniopterus schreibersii,Mammals,NT-IUCN: 2008,"Africa, Asia, Europe, Middle East","Schreiber's Bent-winged Bat, Schreiber's Long-fingered Bat"
88,Crocidura hikmiya,Endangered Mammals of Asia,Crocidura hikmiya,Mammals,EN-IUCN: 2008,Sri Lanka,NA
89,Cyprian Wild Sheep,Endangered Mammals of Asia,Ovis orientalis,Mammals,VU-IUCN: 2008,"Afghanistan, Armenia, Azerbaijan, India, Iran, Kazakhstan, Oman, Pakistan, Tajikistan, Turkey, Turkmenistan, Uzbekistan","Ovis vignei, Urial, Cyprus Mouflon, Red Sheep"
90,Dahl's Jird,Endangered Mammals of Asia,Meriones dahli,Mammals,EN-IUCN: 2008,"Armenia, Turkey",NA
91,Dark-tailed Tree Rat,Endangered Mammals of Asia,Niviventer cremoriventer,Mammals,VU-IUCN: 2008,"Indonesia, Malaysia, Singapore, Thailand",Sundaic Arboreal Niviventer
92,Dayak Fruit Bat,Endangered Mammals of Asia,Dyacopterus spadiceus,Mammals,NT-IUCN: 2008,"Indonesia, Malaysia, Philippines, Thailand",Dyak Fruit Bat
93,Delacour's Langur,Endangered Mammals of Asia,Trachypithecus delacouri,Mammals,CR-IUCN: 2008,Vietnam,White-rumped Black Leaf Monkey
94,Dhole,Endangered Mammals of Asia,Cuon alpinus,Mammals,"EN-US FWS: June 2, 1970EN-IUCN: 2008","Asia, Middle East","Asiatic Wild Dog, Indian Dog, Red Dog, Whistling Hunter"
95,Dian's Tarsier,Endangered Mammals of Asia,Tarsius dentatus,Mammals,VU-IUCN: 2008,Indonesia (Sulawesi),"Diana Tarsier, T. dianae"
96,Dinagat Bushy-tailed Cloud Rat,Endangered Mammals of Asia,Crateromys australis,Mammals,CR-IUCN: 2008,Philippines,"Dinagat Hairy-tailed Cloud Rat, Dinagat Island Cloud Rat, Dinagat Crateromys"
97,Dinagat Gymnure,Endangered Mammals of Asia,Podogymnura aureospinula,Mammals,EN-IUCN: 2008,Philippines,Dinagat Moonrat
98,Dinagat Hairy-tailed Rat,Endangered Mammals of Asia,Batomys russatus,Mammals,EN-IUCN: 2008,Philippines,Russet Batomys
99,Dingiso,Endangered Mammals of Asia,Dendrolagus mbaiso,Mammals,EN-IUCN: 2009,Indonesia,Bondegezou
100,Dorcas Gazelle,Endangered Mammals of Asia,Gazella dorcas,Mammals,"EN-US FWS: G. d. saudiya - June 25, 1979, G. d. pelzelni - June 25, 1979, G. d. massaesyla - June 2, 1970VU-IUCN: 2008","Algeria, Arabian Peninsula, Iraq, Israel, Jordan, Morocco, Somalia, Syria, Tunisia","3 subspecies endangered: Saudi Arabian Gazelle (Gazella dorcas saudiya), Pelzeln's Gazelle (Gazella dorcas pelzelni), Moroccan Gazelle (Gazella dorcas massaesyla)"
101,Douc Langur,Endangered Mammals of Asia,Pygathrix nemaeus,Mammals,"EN-US FWS: June 2, 1970CR-IUCN: 2008EN-IUCN: 2008","Cambodia, Laos, Vietnam","Pygathrix cinerea, Pygathrix nigripes"
102,Dugong,Endangered Mammals of Asia,Dugong dugon,Mammals,"EN-US FWS: December 2, 1970VU-IUCN: 2008",East Africa to Southern Japan,Sea Cow
103,Duke Of Bedford's Vole,Endangered Mammals of Asia,Proedromys bedfordi,Mammals,VU-IUCN: 2008,China,Microtus bedfordi
104,Dusky Leaf-monkey,Endangered Mammals of Asia,Trachypithecus obscurus,Mammals,NT-IUCN: 2008,"Malaysia, Myanmar, Thailand","Dusky Langur, Spectacled Langur, Spectacled Leaf Monkey, T. corax, T. corvus, T. leucomystax, T. ruhei, T. smithii"
105,Dusky Mosaic-tailed Rat,Endangered Mammals of Asia,Melomys aerosus,Mammals,EN-IUCN: 2008,Indonesia,Dusky Seram Melomys
106,Dusky Wallaby,Endangered Mammals of Asia,Thylogale brunii,Mammals,VU-IUCN: 2008,"Indonesia, Papua New Guinea","Dusky Pademelon, Macropus gracilis, Macropus jukesii"
107,Dwarf Gymnure,Endangered Mammals of Asia,Hylomys parvus,Mammals,VU-IUCN: 2008,Indonesia,NA
108,Dwarf Musk Deer,Endangered Mammals of Asia,Moschus berezovskii,Mammals,"EN-US FWS: June 14, 1976EN-IUCN: 2008",China,Chinese Forest Musk Deer
109,Ear-spot Squirrel,Endangered Mammals of Asia,Callosciurus adamsi,Mammals,VU-IUCN: 2008,Malaysia,NA
110,Eastern Black Crested Gibbon,Endangered Mammals of Asia,Nomascus nasutus,Mammals,"CR-IUCN: 2008EN-US FWS: June 2, 1970","China, Vietnam","2 subspecies endangered: Hainan Gibbon (N. n. hainanus), Cao Vit Gibbon (N. n. nasutus)"
111,Eastern Long-beaked Echidna,Endangered Mammals of Asia,Zaglossus bartoni,Mammals,CR-IUCN: 2008,"Indonesia, Papua New Guinea",NA
112,Eastern Tur,Endangered Mammals of Asia,Capra cylindricornis,Mammals,NT-IUCN: 2008,"Azerbaijan, Georgia (Eurasia), Russia",East Caucasian Tur
113,Eld's Browantlered Deer,Endangered Mammals of Asia,Cervus eldii,Mammals,"EN-US FWS: June 2, 1970EN-IUCN: 2008",India to Southeast Asia,"Thamin, Rucervus eldii, Manipur Browantlered Deer (or Sangai, Dancing Deer) (Cervus e. eldii)"
114,Elvira Rat,Endangered Mammals of Asia,Cremnomys elvira,Mammals,CR-IUCN: 2008,India,"Large Rock Rat, Rattus elvira"
115,Emma's Giant Rat,Endangered Mammals of Asia,Uromys emmae,Mammals,CR-IUCN: 2008,Indonesia,NA
116,Euphrates Jerboa,Endangered Mammals of Asia,Allactaga euphratica,Mammals,NT-IUCN: 2008,"Iran, Iraq, Jordan, Kuwait, Lebanon, Saudi Arabia, Syria, Turkey",NA
117,Eurasian Otter,Endangered Mammals of Asia,Lutra lutra,Mammals,NT-IUCN: 2008,"Africa, Asia, Europe, Middle East","Lutra nippon, Common Otter, European River Otter, Old World Otter"
118,European Bison,Endangered Mammals of Asia,Bison bonasus,Mammals,VU-IUCN: 2008,"Belarus, Kyrgyzstan, Lithuania, Poland, Romania, Russia, Slovakia, Ukraine",Wisent
119,European Ground Squirrel,Endangered Mammals of Asia,Spermophilus citellus,Mammals,VU-IUCN: 2008,"Asia, Europe, Middle East",European Souslik
120,European Marbled Polecat,Endangered Mammals of Asia,Vormela peregusna,Mammals,VU-IUCN: 2008,"Asia, Europe, Middle East",NA
121,European Rabbit,Endangered Mammals of Asia,Oryctolagus cuniculus,Mammals,NT-IUCN: 2008,"Africa, Asia, Australia, Europe, North America (including United States), South America",Common Rabbit
122,Fallow Deer,Endangered Mammals of Asia,Dama mesopotamica,Mammals,"EN-US FWS: June 2, 1970EN-IUCN: 2015","Iran, Israel","Mesopotamian Fallow Deer, Persian Fallow Deer (D. d. mesopotamica) (US FWS)"
123,Far Eastern Myotis,Endangered Mammals of Asia,Myotis bombinus,Mammals,NT-IUCN: 2008,"China, Japan, Korea, Russia","Myotis amurensis, Bombinus Bat"
124,Fat-nosed Spiny Rat,Endangered Mammals of Asia,Maxomys inflatus,Mammals,VU-IUCN: 2008,Indonesia,Broad-nosed Sumatran Maxomys
125,Fea's Muntjac,Endangered Mammals of Asia,Muntiacus feae,Mammals,"EN-US FWS: June 25, 1979","Burma, Northern Thailand",Tenasserim Muntjac
126,Felten's Myotis,Endangered Mammals of Asia,Myotis punicus,Mammals,NT-IUCN: 2008,"Algeria, Libya, Malta, Morocco, Tunisia",Maghrebian Myotis
127,Fishing Cat,Endangered Mammals of Asia,Prionailurus viverrinus,Mammals,EN-IUCN: 2010,"Asia, Middle East",NA
128,Flat-headed Cat,Endangered Mammals of Asia,Prionailurus planiceps,Mammals,"EN-US FWS: June 14, 1976EN-IUCN: 2010","Brunei Darussalam, Indonesia, Malaysia, Thailand",Felis planiceps
129,Formosan Woolly Horseshoe Bat,Endangered Mammals of Asia,Rhinolophus formosae,Mammals,NT-IUCN: 2008,"China, Taiwan",NA
130,Formosan Yellow-throated Marten,Endangered Mammals of Asia,Martes flavigula chrysospila,Mammals,"EN-US FWS: June 2, 1970",Taiwan,NA
131,Francois' Langur,Endangered Mammals of Asia,Trachypithecus francoisi,Mammals,"EN-IUCN: 2008EN-US FWS: October 19, 1976","China (Kwangsi), Indochinese Peninsula, Laos, Vietnam","Presbytis francoisi, Hatinh Langur or Stripe-headed Black Langur (IUCN) T. hatinhensis, T. ebenus, T. f. ssp. hatinhesis, Francois's Leaf Monkey, Tonkin Leaf Monkey, White Side-burned Black Langur"
132,Frosted Myotis,Endangered Mammals of Asia,Myotis pruinosus,Mammals,EN-IUCN: 2008,Japan,Blackish Whiskered Bat
133,Ganges River Dolphin,Endangered Mammals of Asia,Platanista gangetica,Mammals,"EN-US FWS: January 14, 1991 (P. g. minor - US FWS)EN-IUCN: 2008","Bangladesh, India, Nepal, Pakistan","South Asian River Dolphin, Blind River Dolphin, Indus River Dolphin, Ganges Susu, Platanista gangetica minor, Platanista minor"
134,Garden Dormouse,Endangered Mammals of Asia,Eliomys quercinus,Mammals,NT-IUCN: 2008,"Asia, Europe",NA
135,Gebe Cuscus,Endangered Mammals of Asia,Phalanger alexandrae,Mammals,EN-IUCN: 2008,Indonesia,NA
136,Geelvink Bay Flying Fox,Endangered Mammals of Asia,Pteropus pohlei,Mammals,EN-IUCN: 2008,Indonesia,"Geelvink Bay Fruit Bat, Yapen Flying Fox"
137,Giant Blind Mole Rat,Endangered Mammals of Asia,Spalax giganteus,Mammals,VU-IUCN: 2008,Russia,Russian Mole Rat
138,Giant Bushy-tailed Cloud Rat,Endangered Mammals of Asia,Crateromys schadenbergi,Mammals,EN-IUCN: 2008,Philippines,"Luzon Bushy-tailed Cloud Rat, Luzon Crateromys"
139,Giant Noctule Bat,Endangered Mammals of Asia,Nyctalus lasiopterus,Mammals,NT-IUCN: 2008,"Africa, Asia, Europe, Middle East",NA
140,Giant Panda,Endangered Mammals of Asia,Ailuropoda melanoleuca,Mammals,"EN-IUCN: 2008EN-US FWS: January 23, 1984",China,NA
141,Gloomy Tube-nosed Bat,Endangered Mammals of Asia,Murina tenebrosa,Mammals,CR-IUCN: 2008,Japan,Tsushima Tube-nosed Bat
142,Goitered Gazelle,Endangered Mammals of Asia,Gazella subgutturosa,Mammals,"VU-IUCN: 2008EN-US FWS: June 25, 1979","Asia, Europe, Middle East",Sand Gazelle - G. s. marica (US FWS)
143,Golden Hamster,Endangered Mammals of Asia,Mesocricetus auratus,Mammals,VU-IUCN: 2008,"Syria, Turkey",NA
144,Golden Langur,Endangered Mammals of Asia,Trachypithecus geei,Mammals,"EN-US FWS: June 14, 1976EN-IUCN: 2008","Bhutan, India (Assam)","Presbytis geei, Golden Leaf Monkey, Gee's Golden Langur"
145,Golden Palm Civet,Endangered Mammals of Asia,Paradoxurus zeylonensis,Mammals,VU-IUCN: 2008,Sri Lanka,NA
